"STIME"	"NE_ID"	"OBJID"	"A_PARTYLOCATION"	"B_PARTYLOCATION"	"A_PARTYCARRIER"	"B_PARTYCARRIER"	"A_PARTYTECHNOLOGY"	"B_PARTYTECHNOLOGY"	"A_PARTYNUMBER"	"CODEC"	"MCC"	"MNC"	"LAC"	"CELLID"	"CHANNEL"	"SIGNAL_LEVEL"	"CALLTYPE"	"DIALINGTIME_CET"	"CONNECTTIME_CET"	"CALLSETUPDURATION"	"CALLSETUPSUCCESSRATIO"	"CONNECTSETUPDURATION"	"CONNECTSETUPSUCCESSRATIO"	"CALLDROPRATIO"	"CALLSERVICEAVAILABILITY"	"AUDIOLOOPS_AB"	"AUDIOLOOPS_BA"	"MOS_AB"	"MOS_AB_SUM"	"MOS_BA"	"MOS_BA_SUM"	"SPEECHDELAY_AB"	"SPEECHDELAY_AB_SUM"	"SPEECHDELAY_BA"	"SPEECHDELAY_BA_SUM"	"MTEXPECTED_AB"	"MTEXPECTED_BA"	"MTRECORDED_AB"	"MTRECORDED_BA"	"MTSUCCESSRATE"
"190220 00:05"	"CALL"	"17"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 2"	"ISDN"	"NGN ISDN"	"91244963413"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 00:05:57"	"2019.02.20 00:06:00"	"3369"	"100"	"3430"	"100"	"0"	"1"	"2"	"2"	"3.61"	"7.21"	"3.58"	"7.16"	"66.83"	"133.66"	"55.399"	"110.798"	"12"	"12"	"12"	"12"	"100"
"190220 00:05"	"CALL"	"18"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 1"	"ISDN"	"NGN ISDN"	"91244963412"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 00:05:58"	"2019.02.20 00:06:01"	"2932"	"100"	"3040"	"100"	"0"	"1"	"2"	"2"	"3.59"	"7.17"	"3.62"	"7.24"	"66.694"	"133.389"	"56.92"	"113.84"	"12"	"12"	"12"	"12"	"100"
"190220 00:05"	"CALL"	"19"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 4"	"ISDN"	"NGN ISDN"	"91244963415"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 00:05:58"	"2019.02.20 00:06:02"	"3402"	"100"	"3439"	"100"	"0"	"1"	"2"	"2"	"3.63"	"7.25"	"3.61"	"7.21"	"67.674"	"135.348"	"52.441"	"104.882"	"12"	"12"	"12"	"12"	"100"
"190220 00:05"	"CALL"	"20"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 3"	"ISDN"	"NGN ISDN"	"91244963414"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 00:05:59"	"2019.02.20 00:06:02"	"2983"	"100"	"3066"	"100"	"0"	"1"	"2"	"2"	"3.59"	"7.17"	"3.64"	"7.28"	"66.413"	"132.827"	"56.92"	"113.84"	"12"	"12"	"12"	"12"	"100"
"190220 00:07"	"CALL"	"21"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 2"	"ISDN"	"NGN ISDN"	"91244963413"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN with Dataload"	"2019.02.20 00:07:52"	"2019.02.20 00:07:55"	"3055"	"100"	"3170"	"100"	"0"	"1"	"2"	"2"	"3.61"	"7.21"	"3.59"	"7.19"	"65.049"	"130.098"	"51.712"	"103.423"	"12"	"12"	"12"	"12"	"100"
"190220 00:07"	"CALL"	"22"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 3"	"ISDN"	"NGN ISDN"	"91244963414"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN with Dataload"	"2019.02.20 00:07:53"	"2019.02.20 00:07:56"	"3106"	"100"	"3142"	"100"	"0"	"1"	"2"	"2"	"3.59"	"7.17"	"3.61"	"7.23"	"60.58"	"121.161"	"52.066"	"104.131"	"12"	"12"	"12"	"12"	"100"
"190220 00:07"	"CALL"	"23"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 4"	"ISDN"	"NGN ISDN"	"91244963415"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN with Dataload"	"2019.02.20 00:07:53"	"2019.02.20 00:07:56"	"2941"	"100"	"3021"	"100"	"0"	"1"	"2"	"2"	"3.63"	"7.26"	"3.6"	"7.2"	"64.028"	"128.057"	"51.399"	"102.798"	"12"	"12"	"12"	"12"	"100"
"190220 00:07"	"CALL"	"24"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 1"	"ISDN"	"NGN ISDN"	"91244963412"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN with Dataload"	"2019.02.20 00:07:54"	"2019.02.20 00:07:57"	"3160"	"100"	"3200"	"100"	"0"	"1"	"2"	"2"	"3.63"	"7.27"	"3.62"	"7.24"	"65.414"	"130.828"	"52.066"	"104.131"	"12"	"12"	"12"	"12"	"100"
"190220 00:09"	"CALL"	"25"	"Darmstadt"	"Darmstadt"	"Telekom 2"	"Telekom 4"	"NGN ISDN"	"NGN ISDN"	"61518607888"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:09:48"	"2019.02.20 00:09:49"	"313"	"100"	"394"	"100"	"0"	"1"	"2"	"2"	"4.49"	"8.98"	"4.5"	"9"	"48.187"	"96.374"	"48.458"	"96.916"	"12"	"12"	"12"	"12"	"100"
"190220 00:09"	"CALL"	"26"	"Darmstadt"	"Darmstadt"	"Telekom 4"	"Telekom 2"	"NGN ISDN"	"NGN ISDN"	"61519576288"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:09:49"	"2019.02.20 00:09:49"	"313"	"100"	"420"	"100"	"0"	"1"	"2"	"2"	"4.47"	"8.94"	"4.5"	"9.01"	"48.333"	"96.666"	"48.948"	"97.895"	"12"	"12"	"12"	"12"	"100"
"190220 00:09"	"CALL"	"27"	"Darmstadt"	"Darmstadt"	"Telekom 3"	"Telekom 1"	"NGN ISDN"	"NGN ISDN"	"61519576290"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:09:49"	"2019.02.20 00:09:49"	"284"	"100"	"385"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.97"	"4.47"	"8.95"	"49.583"	"99.166"	"47.198"	"94.395"	"12"	"12"	"12"	"12"	"100"
"190220 00:09"	"CALL"	"28"	"Darmstadt"	"Darmstadt"	"Telekom 1"	"Telekom 3"	"NGN ISDN"	"NGN ISDN"	"61515003856"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 00:09:49"	"2019.02.20 00:09:50"	"261"	"100"	"385"	"100"	"0"	"1"	"2"	"2"	"4.52"	"9.04"	"4.44"	"8.88"	"52.323"	"104.645"	"49.698"	"99.395"	"12"	"12"	"12"	"12"	"100"
"190220 00:11"	"CALL"	"29"	"Darmstadt"	"Darmstadt"	"Telekom 1"	"Telekom 3"	"NGN ISDN"	"NGN ISDN"	"61515003856"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:11:32"	"2019.02.20 00:11:32"	"280"	"100"	"391"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.96"	"4.53"	"9.06"	"46.562"	"93.124"	"46.969"	"93.937"	"12"	"12"	"12"	"12"	"100"
"190220 00:11"	"CALL"	"30"	"Darmstadt"	"Darmstadt"	"Telekom 3"	"Telekom 1"	"NGN ISDN"	"NGN ISDN"	"61519576290"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:11:33"	"2019.02.20 00:11:33"	"268"	"100"	"379"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.97"	"4.44"	"8.88"	"45.708"	"91.416"	"46.437"	"92.874"	"12"	"12"	"12"	"12"	"100"
"190220 00:11"	"CALL"	"31"	"Darmstadt"	"Darmstadt"	"Telekom 2"	"Telekom 4"	"NGN ISDN"	"NGN ISDN"	"61518607888"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:11:34"	"2019.02.20 00:11:34"	"263"	"100"	"386"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.97"	"4.49"	"8.97"	"45.187"	"90.374"	"47.583"	"95.166"	"12"	"12"	"12"	"12"	"100"
"190220 00:11"	"CALL"	"32"	"Darmstadt"	"Darmstadt"	"Telekom 4"	"Telekom 2"	"NGN ISDN"	"NGN ISDN"	"61519576288"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 00:11:34"	"2019.02.20 00:11:35"	"263"	"100"	"369"	"100"	"0"	"1"	"2"	"2"	"4.51"	"9.02"	"4.45"	"8.91"	"48.094"	"96.187"	"46.437"	"92.874"	"12"	"12"	"12"	"12"	"100"
"190220 01:01"	"CALL"	"33"	"Darmstadt"	"Darmstadt"	"Telekom 4"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673685"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 01:01:16"	"2019.02.20 01:01:18"	"1844"	"100"	"1940"	"100"	"0"	"1"	"2"	"2"	"3.58"	"7.16"	"3.67"	"7.34"	"35.95"	"71.899"	"73.571"	"147.142"	"12"	"12"	"12"	"12"	"100"
"190220 01:01"	"CALL"	"34"	"Darmstadt"	"Darmstadt"	"Telekom 3"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673686"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 01:01:16"	"2019.02.20 01:01:18"	"1707"	"100"	"1786"	"100"	"0"	"1"	"2"	"2"	"3.64"	"7.28"	"3.62"	"7.24"	"37.21"	"74.42"	"71.779"	"143.559"	"12"	"12"	"12"	"12"	"100"
"190220 01:01"	"CALL"	"35"	"Darmstadt"	"Darmstadt"	"Telekom 2"	"Telekom"	"NGN ISDN"	"ISDN"	"61511535878"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 01:01:17"	"2019.02.20 01:01:19"	"1822"	"100"	"1950"	"100"	"0"	"1"	"2"	"2"	"3.6"	"7.2"	"3.67"	"7.35"	"35.315"	"70.629"	"71.863"	"143.726"	"12"	"12"	"12"	"12"	"100"
"190220 01:01"	"CALL"	"36"	"Darmstadt"	"Darmstadt"	"Telekom 1"	"Telekom"	"NGN ISDN"	"ISDN"	"61518606372"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN"	"2019.02.20 01:01:18"	"2019.02.20 01:01:20"	"1810"	"100"	"1885"	"100"	"0"	"1"	"2"	"2"	"3.64"	"7.29"	"3.6"	"7.2"	"36.179"	"72.358"	"72.998"	"145.996"	"12"	"12"	"12"	"12"	"100"
"190220 01:01"	"CALL"	"37"	"Darmstadt"	"Darmstadt"	"Telekom 5"	"Telekom 6"	"NGN ISDN"	"NGN ISDN"	"61519578179"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 01:01:58"	"2019.02.20 01:01:58"	"258"	"100"	"371"	"100"	"0"	"1"	"2"	"2"	"4.46"	"8.92"	"4.48"	"8.97"	"46.131"	"92.261"	"45.265"	"90.53"	"12"	"12"	"12"	"12"	"100"
"190220 01:01"	"CALL"	"38"	"Darmstadt"	"Darmstadt"	"Telekom 6"	"Telekom 5"	"NGN ISDN"	"NGN ISDN"	"61519578166"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 01:01:58"	"2019.02.20 01:01:59"	"276"	"100"	"380"	"100"	"0"	"1"	"2"	"2"	"4.47"	"8.94"	"4.47"	"8.93"	"45.764"	"91.529"	"45.381"	"90.761"	"12"	"12"	"12"	"12"	"100"
"190220 01:02"	"CALL"	"39"	"Darmstadt"	"Darmstadt"	"Telekom 8"	"Telekom 7"	"NGN ISDN"	"NGN ISDN"	"61519578781"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 01:02:00"	"2019.02.20 01:02:01"	"259"	"100"	"388"	"100"	"0"	"1"	"2"	"2"	"4.49"	"8.97"	"4.43"	"8.87"	"49.509"	"99.018"	"42.782"	"85.564"	"12"	"12"	"12"	"12"	"100"
"190220 01:02"	"CALL"	"40"	"Darmstadt"	"Darmstadt"	"Telekom 7"	"Telekom 8"	"NGN ISDN"	"NGN ISDN"	"61519578186"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN"	"2019.02.20 01:02:01"	"2019.02.20 01:02:01"	"243"	"100"	"341"	"100"	"0"	"1"	"2"	"2"	"4.44"	"8.89"	"4.48"	"8.95"	"46.647"	"93.293"	"50.009"	"100.018"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"41"	"Darmstadt"	"Darmstadt"	"Telekom 2"	"Telekom"	"NGN ISDN"	"ISDN"	"61511535878"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 01:03:04"	"2019.02.20 01:03:06"	"1676"	"100"	"1799"	"100"	"0"	"1"	"2"	"2"	"3.64"	"7.29"	"3.58"	"7.15"	"49.702"	"99.404"	"59.705"	"119.409"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"42"	"Darmstadt"	"Darmstadt"	"Telekom 3"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673686"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 01:03:06"	"2019.02.20 01:03:08"	"1746"	"100"	"1824"	"100"	"0"	"1"	"2"	"2"	"3.62"	"7.23"	"3.62"	"7.24"	"50.41"	"100.82"	"56.976"	"113.951"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"43"	"Darmstadt"	"Darmstadt"	"Telekom 1"	"Telekom"	"NGN ISDN"	"ISDN"	"61518606372"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 01:03:06"	"2019.02.20 01:03:09"	"2026"	"100"	"2100"	"100"	"0"	"1"	"2"	"2"	"3.65"	"7.3"	"3.62"	"7.23"	"50.826"	"101.653"	"57.945"	"115.889"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"44"	"Darmstadt"	"Darmstadt"	"Telekom 4"	"Telekom"	"NGN ISDN"	"ISDN"	"61516673685"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to ISDN with Dataload"	"2019.02.20 01:03:07"	"2019.02.20 01:03:09"	"1972"	"100"	"2061"	"100"	"0"	"1"	"2"	"2"	"3.59"	"7.18"	"3.63"	"7.27"	"49.92"	"99.84"	"57.549"	"115.097"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"45"	"Darmstadt"	"Darmstadt"	"Telekom 5"	"Telekom 6"	"NGN ISDN"	"NGN ISDN"	"61519578179"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 01:03:43"	"2019.02.20 01:03:44"	"268"	"100"	"392"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.96"	"4.48"	"8.96"	"46.824"	"93.649"	"47.832"	"95.663"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"46"	"Darmstadt"	"Darmstadt"	"Telekom 6"	"Telekom 5"	"NGN ISDN"	"NGN ISDN"	"61519578166"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 01:03:43"	"2019.02.20 01:03:44"	"257"	"100"	"356"	"100"	"0"	"1"	"2"	"2"	"4.49"	"8.98"	"4.48"	"8.96"	"46.956"	"93.912"	"49.939"	"99.879"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"47"	"Darmstadt"	"Darmstadt"	"Telekom 7"	"Telekom 8"	"NGN ISDN"	"NGN ISDN"	"61519578186"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 01:03:46"	"2019.02.20 01:03:46"	"261"	"100"	"393"	"100"	"0"	"1"	"2"	"2"	"4.5"	"9"	"4.48"	"8.97"	"48.806"	"97.612"	"46.735"	"93.47"	"12"	"12"	"12"	"12"	"100"
"190220 01:03"	"CALL"	"48"	"Darmstadt"	"Darmstadt"	"Telekom 8"	"Telekom 7"	"NGN ISDN"	"NGN ISDN"	"61519578781"	"G722"	"0"	"0"	"0"	"0"	"0"	"0"	"NGN to NGN with Dataload"	"2019.02.20 01:03:46"	"2019.02.20 01:03:46"	"291"	"100"	"366"	"100"	"0"	"1"	"2"	"2"	"4.48"	"8.95"	"4.5"	"8.99"	"47.35"	"94.7"	"48.66"	"97.32"	"12"	"12"	"12"	"12"	"100"
"190220 01:05"	"CALL"	"49"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 4"	"ISDN"	"NGN ISDN"	"91244963415"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 01:05:10"	"2019.02.20 01:05:14"	"3361"	"100"	"3396"	"100"	"0"	"1"	"2"	"2"	"3.61"	"7.22"	"3.59"	"7.18"	"63.595"	"127.19"	"52.322"	"104.644"	"12"	"12"	"12"	"12"	"100"
"190220 01:05"	"CALL"	"50"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 2"	"ISDN"	"NGN ISDN"	"91244963413"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 01:05:11"	"2019.02.20 01:05:14"	"2946"	"100"	"3144"	"100"	"0"	"1"	"2"	"2"	"3.61"	"7.23"	"3.59"	"7.17"	"63.918"	"127.836"	"51.156"	"102.311"	"12"	"12"	"12"	"12"	"100"
"190220 01:05"	"CALL"	"51"	"Darmstadt"	"Darmstadt"	"Telekom"	"Telekom 1"	"ISDN"	"NGN ISDN"	"91244963412"	"G711"	"0"	"0"	"0"	"0"	"0"	"0"	"ISDN to NGN"	"2019.02.20 01:05:11"	"2019.02.20 01:05:15"	"3184"	"100"	"3245"	"100"	"0"	"1"	"2"	"2"	"3.59"	"7.17"	"3.62"	"7.25"	"60.74"	"121.481"	"50.749"	"101.497"	"12"	"12"	"12"	"12"	"100"
